"Year","y","LnCoverage","AC15","Premium","Fire5","lnDeduct","Freq","yAvg","Classes","Error_S","lnDeduct_err"
2010,6838.87,3.157489365,0,7994,1,6.907755279,1,6838.87,"county",-0.501163048593866,6.40659223040613
2007,15500,4.649635048,1,39728,1,8.517193191,5,3100,"county",0.146914659377666,8.66410785037767
2008,8775,4.711914824,1,42280,1,8.517193191,1,8775,"county",-0.668502889928038,7.84869030107196
2009,37470.91,4.779167349,1,36893,1,8.517193191,2,18735.455,"county",1.27622464171023,9.79341783271023
2010,9711.28,4.741849809,1,36687,1,8.517193191,1,9711.28,"county",0.263606217452288,8.78079940845229
2006,13003.08,3.253456327,1,16823,1,6.214608098,3,4334.36,"county",-0.656374707294412,5.55823339070559
2007,32733.44,3.391832299,1,20507,1,6.214608098,1,32733.44,"county",0.389943241942788,6.60455133994279
2009,42600.43,3.498467609,1,18185,1,6.907755279,3,14200.14333,"county",0.590659764103374,7.49841504310337
2010,10323.5,3.461149589,1,17839,1,6.907755279,1,10323.5,"county",0.460625081322794,7.36838036032279
2007,144005.39,3.500401365,1,14245,1,8.517193191,5,28801.078,"county",-0.244310709725085,8.27288248127492
2009,27480.88,3.610220426,1,14050,1,8.517193191,2,13740.44,"county",1.20942493476068,9.72661812576068
2006,48060.82,3.82976103,1,21644,1,6.214608098,3,16020.27333,"county",0.311874589129145,6.52648268712915
2007,2250,3.908242548,1,18928,1,6.214608098,2,1125,"county",-0.496992464433443,5.71761563356656
2008,713.15,3.771345914,1,17809,1,6.214608098,2,356.575,"county",-1.771759909742,4.442848188258
2009,12014.69,3.814650941,1,18144,1,6.214608098,2,6007.345,"county",0.899944734514487,7.11455283251449
2010,3469.79,3.856969471,1,16090,1,6.214608098,1,3469.79,"county",-0.0359468872121847,6.17866121078782
2009,5474.3,4.320409868,1,15044,1,10.1266311,2,2737.15,"county",-0.00647610523957844,10.1201549947604
2009,20110.06,4.262926396,0,16334,0,10.1266311,7,2872.865714,"county",0.37753448427412,10.5041655842741
2010,35000,4.596491101,1,15861,0,10.1266311,1,35000,"county",0.328488478039235,10.4551195780392
2006,55273.39,6.103178101,1,196802,1,6.214608098,20,2763.6695,"county",0.475121056974007,6.68972915497401
2007,366403.42,6.169993126,1,196055,1,6.214608098,15,24426.89467,"county",0.735181897286575,6.94978999528657
2008,47562.49,6.237033387,1,214762,1,6.214608098,11,4323.862727,"county",0.625709040584854,6.84031713858485
2009,157402.17,6.370475188,1,222048,1,6.214608098,19,8284.324737,"county",0.0596519866921525,6.27426008469215
2010,83934.7,6.34452363,1,222052,1,6.214608098,19,4417.615789,"county",-1.5914813566907,4.6231267413093
2006,20169.21,4.848827782,1,63796,0,6.214608098,3,6723.07,"county",0.495860598315768,6.71046869631577
2007,13101.99,4.929918277,1,55347,0,6.214608098,6,2183.665,"county",-0.0449029916232006,6.1697051063768
2008,41266.18,4.980357431,1,59665,0,6.214608098,4,10316.545,"county",-0.124636405364263,6.08997169263574
2010,63529.9,5.096975124,1,58869,0,6.214608098,5,12705.98,"county",-1.17660190711942,5.03800619088058
2006,194133.31,4.432654039,1,43760,1,6.907755279,10,19413.331,"county",-0.382520044086896,6.5252352349131
2007,26819.98,4.525948987,1,42497,1,6.907755279,8,3352.4975,"county",0.334353248159762,7.24210852715976
2008,52866.97,4.572981277,1,41638,1,6.907755279,9,5874.107778,"county",1.08694364122324,7.99469892022324
2009,36411.4,4.61914728,1,43605,1,6.907755279,6,6068.566667,"county",-0.0822301818743964,6.8255250971256
2010,38117.45,4.676398577,1,38657,1,6.907755279,11,3465.222727,"county",0.310137289247495,7.2178925682475
2006,970.9,4.215380834,0,25733,1,8.517193191,5,194.18,"county",-0.0430440324663241,8.47414915853368
2007,52342.26,4.286615061,0,21816,1,8.517193191,8,6542.7825,"county",-1.10164764546289,7.41554554553711
2008,5018.22,4.270846775,1,22907,1,8.517193191,8,627.2775,"county",-0.331995650639744,8.18519754036026
2009,886.95,4.317390495,1,23997,1,8.517193191,5,177.39,"county",-0.315431962968279,8.20176122803172
2010,9131.7,4.378509758,1,22321,1,8.517193191,7,1304.528571,"county",-0.0474507173689485,8.46974247363105
2007,44628.76,4.687441243,1,48858,1,8.517193191,1,44628.76,"county",0.880020297587107,9.39721348858711
2008,146083.94,4.743456693,1,44785,1,8.517193191,1,146083.94,"county",0.610540598766035,9.12773378976604
2009,117967.96,4.800882699,1,49863,1,8.517193191,2,58983.98,"county",-0.13161887700287,8.38557431399713
2010,9648.62,4.750044404,1,39301,1,8.517193191,1,9648.62,"county",-0.202689344109206,8.31450384689079
2009,5451.19,3.388305774,1,13031,0,7.824046011,1,5451.19,"county",0.55757070032379,8.38161671132379
2010,10989.35,3.449691026,1,10707,0,7.824046011,2,5494.675,"county",0.445330558938926,8.26937656993893
2006,52282.21,3.098685624,1,14410,0,6.214608098,6,8713.701667,"county",-0.551004555639616,5.66360354236038
2007,4500,3.168984999,1,13081,0,6.214608098,1,4500,"county",-0.565996125569696,5.6486119724303
2009,2440.21,3.26234163,1,13839,0,6.214608098,1,2440.21,"county",0.291665569709464,6.50627366770946
2007,55591.69,3.868574753,0,17714,1,6.907755279,2,27795.845,"county",0.614826339612333,7.52258161861233
2008,57080.39,3.921950267,0,19695,1,6.907755279,2,28540.195,"county",-0.0898769697201824,6.81787830927982
2010,16424.49,4.185697939,1,21036,1,6.907755279,2,8212.245,"county",0.704886181163372,7.61264146016337
2009,5432.29,3.166803195,0,10679,0,9.210340372,4,1358.0725,"county",0.318484704293654,9.52882507629365
2006,14327.12,3.829686915,0,27169,1,6.214608098,3,4775.706667,"county",-0.489621114600617,5.72498698339938
2008,624.85,3.949511411,1,26474,1,6.214608098,2,312.425,"county",0.27289575313954,6.48750385113954
2009,376255.81,3.997130919,1,28854,1,6.214608098,1,376255.81,"county",-0.903490476864634,5.31111762113537
2010,11391.53,4.167325548,1,29045,1,6.214608098,3,3797.176667,"county",1.14641896136083,7.36102705936083
2006,12048.91,4.191579888,1,46950,0,6.214608098,5,2409.782,"county",1.58431991880469,7.79892801680469
2007,16487.11,4.267814027,1,35682,0,7.824046011,4,4121.7775,"county",-0.293777181173207,7.53026882982679
2008,90932.6,4.325147426,1,36277,0,7.824046011,7,12990.37143,"county",-0.835307701053225,6.98873830994678
2009,6636.19,4.371499582,1,38790,0,7.824046011,4,1659.0475,"county",0.45577570195393,8.27982171295393
2010,70561.27,4.442694044,1,34851,0,7.824046011,2,35280.635,"county",-0.108043683104659,7.71600232789534
2008,174518.44,3.22318668,0,11550,0,8.517193191,1,174518.44,"county",1.92129420840382,10.4384873994038
2006,22015,5.130778771,1,77808,1,8.517193191,2,11007.5,"county",-0.0313920021865354,8.48580118881346
2009,12875,5.279756805,1,66750,1,8.517193191,1,12875,"county",0.551791489960621,9.06898468096062
2010,66931.96,5.345047353,1,60774,1,8.517193191,1,66931.96,"county",0.0224017270245329,8.53959491802453
2010,32828.12,3.950410987,1,11950,1,8.517193191,7,4689.731429,"county",-0.594618567105924,7.92257462389408
2006,5047367.54,7.558246648,1,383297,1,10.81977828,100,50473.6754,"county",0.0755169198057372,10.8952951998057
2007,1855679.59,7.637338788,1,373359,1,10.81977828,157,11819.61522,"county",-0.721983451556415,10.0977948284436
2008,1459481.92,7.688990634,1,393150,1,10.81977828,67,21783.31224,"county",0.586221944625154,11.4060002246252
2009,2160411.07,7.736616944,1,412328,1,10.81977828,228,9475.487149,"county",0.0613013352847591,10.8810796152848
2010,4920530.65,7.801717364,1,391168,1,10.81977828,103,47772.14223,"county",0.869044668144861,11.6888229481449
