"Year","y","LnCoverage","AC15","Premium","Fire5","lnDeduct","Freq","yAvg","Classes","Error_S","lnDeduct_err"
2010,6838.87,3.157489365,0,7994,1,6.907755279,1,6838.87,"county",-1.51945166735276,5.38830361164724
2007,15500,4.649635048,1,39728,1,8.517193191,5,3100,"county",0.445423350297438,8.96261654129744
2008,8775,4.711914824,1,42280,1,8.517193191,1,8775,"county",-2.02680112506549,6.49039206593451
2009,37470.91,4.779167349,1,36893,1,8.517193191,2,18735.455,"county",3.86932289841416,12.3865160894142
2010,9711.28,4.741849809,1,36687,1,8.517193191,1,9711.28,"county",0.799214762054461,9.31640795305446
2006,13003.08,3.253456327,1,16823,1,6.214608098,3,4334.36,"county",-1.99003028296864,4.22457781503136
2007,32733.44,3.391832299,1,20507,1,6.214608098,1,32733.44,"county",1.18224979037324,7.39685788837324
2009,42600.43,3.498467609,1,18185,1,6.907755279,3,14200.14333,"county",1.79079236971512,8.69854764871512
2010,10323.5,3.461149589,1,17839,1,6.907755279,1,10323.5,"county",1.39654659257931,8.30430187157931
2007,144005.39,3.500401365,1,14245,1,8.517193191,5,28801.078,"county",-0.740713658529813,7.77647953247019
2009,27480.88,3.610220426,1,14050,1,8.517193191,2,13740.44,"county",3.66679614312373,12.1839893341237
2006,48060.82,3.82976103,1,21644,1,6.214608098,3,16020.27333,"county",0.945557270806013,7.16016536880601
2007,2250,3.908242548,1,18928,1,6.214608098,2,1125,"county",-1.50680707778422,4.70780102021578
2008,713.15,3.771345914,1,17809,1,6.214608098,2,356.575,"county",-5.37171197389674,0.842896124103262
2009,12014.69,3.814650941,1,18144,1,6.214608098,2,6007.345,"county",2.72849830253849,8.94310640053849
2010,3469.79,3.856969471,1,16090,1,6.214608098,1,3469.79,"county",-0.108985604313694,6.10562249368631
2009,5474.3,4.320409868,1,15044,1,10.1266311,2,2737.15,"county",-0.0392691717070454,10.087361928293
2009,20110.06,4.262926396,0,16334,0,10.1266311,7,2872.865714,"county",0,10.1266311
2010,35000,4.596491101,1,15861,0,10.1266311,1,35000,"county",0,10.1266311
2006,55273.39,6.103178101,1,196802,1,6.214608098,20,2763.6695,"county",2.28925657317704,8.50386467117704
2007,366403.42,6.169993126,1,196055,1,6.214608098,15,24426.89467,"county",1.99185621151957,8.20646430951957
2008,47562.49,6.237033387,1,214762,1,6.214608098,11,4323.862727,"county",1.44049623019712,7.65510432819712
2009,157402.17,6.370475188,1,222048,1,6.214608098,19,8284.324737,"county",2.22896193718566,8.44357003518566
2010,83934.7,6.34452363,1,222052,1,6.214608098,19,4417.615789,"county",1.89705655207795,8.11166465007795
2006,20169.21,4.848827782,1,63796,0,6.214608098,3,6723.07,"county",0,6.214608098
2007,13101.99,4.929918277,1,55347,0,6.214608098,6,2183.665,"county",0,6.214608098
2008,41266.18,4.980357431,1,59665,0,6.214608098,4,10316.545,"county",0,6.214608098
2010,63529.9,5.096975124,1,58869,0,6.214608098,5,12705.98,"county",0,6.214608098
2006,194133.31,4.432654039,1,43760,1,6.907755279,10,19413.331,"county",0.180855932803912,7.08861121180391
2007,26819.98,4.525948987,1,42497,1,6.907755279,8,3352.4975,"county",-4.82513427071151,2.08262100828849
2008,52866.97,4.572981277,1,41638,1,6.907755279,9,5874.107778,"county",1.50337542841472,8.41113070741472
2009,36411.4,4.61914728,1,43605,1,6.907755279,6,6068.566667,"county",-0.13613917802286,6.77161610097714
2010,38117.45,4.676398577,1,38657,1,6.907755279,11,3465.222727,"county",-0.377879004597273,6.52987627440273
2006,970.9,4.215380834,0,25733,1,8.517193191,5,194.18,"county",-3.56728161543258,4.94991157556742
2007,52342.26,4.286615061,0,21816,1,8.517193191,8,6542.7825,"county",-1.15974376086673,7.35744943013327
2008,5018.22,4.270846775,1,22907,1,8.517193191,8,627.2775,"county",1.01370921464895,9.53090240564895
2009,886.95,4.317390495,1,23997,1,8.517193191,5,177.39,"county",3.29545111637615,11.8126443073761
2010,9131.7,4.378509758,1,22321,1,8.517193191,7,1304.528571,"county",-0.249309655423191,8.26788353557681
2007,44628.76,4.687441243,1,48858,1,8.517193191,1,44628.76,"county",0.940290036501188,9.45748322750119
2008,146083.94,4.743456693,1,44785,1,8.517193191,1,146083.94,"county",-0.130503090928287,8.38669010007171
2009,117967.96,4.800882699,1,49863,1,8.517193191,2,58983.98,"county",-3.34003146566843,5.17716172533157
2010,9648.62,4.750044404,1,39301,1,8.517193191,1,9648.62,"county",-1.00656133035703,7.51063186064298
2009,5451.19,3.388305774,1,13031,0,7.824046011,1,5451.19,"county",0,7.824046011
2010,10989.35,3.449691026,1,10707,0,7.824046011,2,5494.675,"county",0,7.824046011
2006,52282.21,3.098685624,1,14410,0,6.214608098,6,8713.701667,"county",0,6.214608098
2007,4500,3.168984999,1,13081,0,6.214608098,1,4500,"county",0,6.214608098
2009,2440.21,3.26234163,1,13839,0,6.214608098,1,2440.21,"county",0,6.214608098
2007,55591.69,3.868574753,0,17714,1,6.907755279,2,27795.845,"county",-0.956342698076511,5.95141258092349
2008,57080.39,3.921950267,0,19695,1,6.907755279,2,28540.195,"county",-0.143863502757486,6.76389177624251
2010,16424.49,4.185697939,1,21036,1,6.907755279,2,8212.245,"county",2.66809037941783,9.57584565841783
2009,5432.29,3.166803195,0,10679,0,9.210340372,4,1358.0725,"county",0,9.210340372
2006,14327.12,3.829686915,0,27169,1,6.214608098,3,4775.706667,"county",1.85106809726786,8.06567619526786
2008,624.85,3.949511411,1,26474,1,6.214608098,2,312.425,"county",-0.399048817901129,5.81555928009887
2009,376255.81,3.997130919,1,28854,1,6.214608098,1,376255.81,"county",-0.614523881450306,5.60008421654969
2010,11391.53,4.167325548,1,29045,1,6.214608098,3,3797.176667,"county",1.69047126010399,7.90507935810399
2006,12048.91,4.191579888,1,46950,0,6.214608098,5,2409.782,"county",0,6.214608098
2007,16487.11,4.267814027,1,35682,0,7.824046011,4,4121.7775,"county",0,7.824046011
2008,90932.6,4.325147426,1,36277,0,7.824046011,7,12990.37143,"county",0,7.824046011
2009,6636.19,4.371499582,1,38790,0,7.824046011,4,1659.0475,"county",0,7.824046011
2010,70561.27,4.442694044,1,34851,0,7.824046011,2,35280.635,"county",0,7.824046011
2008,174518.44,3.22318668,0,11550,0,8.517193191,1,174518.44,"county",0,8.517193191
2006,22015,5.130778771,1,77808,1,8.517193191,2,11007.5,"county",1.3501758802877,9.8673690712877
2009,12875,5.279756805,1,66750,1,8.517193191,1,12875,"county",-1.67056368807441,6.84662950292559
2010,66931.96,5.345047353,1,60774,1,8.517193191,1,66931.96,"county",-1.71601589367976,6.80117729732024
2010,32828.12,3.950410987,1,11950,1,8.517193191,7,4689.731429,"county",0.884286535984375,9.40147972698438
2006,5047367.54,7.558246648,1,383297,1,10.81977828,100,50473.6754,"county",1.86406182474441,12.6838401047444
2007,1855679.59,7.637338788,1,373359,1,10.81977828,157,11819.61522,"county",-0.272493576454025,10.547284703546
2008,1459481.92,7.688990634,1,393150,1,10.81977828,67,21783.31224,"county",2.13710984133341,12.9568881213334
2009,2160411.07,7.736616944,1,412328,1,10.81977828,228,9475.487149,"county",0.965598154778381,11.7853764347784
2010,4920530.65,7.801717364,1,391168,1,10.81977828,103,47772.14223,"county",-1.48445824375595,9.33532003624405
2006,19714.09,3.346955288,0,11366,1,6.907755279,1,19714.09,"county",0.827379249696816,7.73513452869682
2008,5366.77,3.483718155,0,10752,1,6.907755279,2,2683.385,"county",-2.73924846486799,4.16850681413201
